year,territory_raw,territory_level,metric,value
2011,Стара Загора,district,rural,950.0
2011,Търговище,district,total,1248.0
2011,Търговище,district,urban,611.0
2011,Търговище,district,rural,637.0
2011,Хасково,district,total,2232.0
2011,Хасково,district,urban,1697.0
2011,Хасково,district,rural,535.0
2011,Шумен,district,total,1832.0
2011,Шумен,district,urban,1145.0
2011,Шумен,district,rural,687.0
2011,Ямбол,district,total,1303.0
2011,Ямбол,district,urban,966.0
2011,Ямбол,district,rural,337.0
2012,България,country,total,69121.0
2012,България,country,urban,51658.0
2012,България,country,rural,17463.0
2012,Благоевград,district,total,3044.0
2012,Благоевград,district,urban,1896.0
2012,Благоевград,district,rural,1148.0
2012,Бургас,district,total,4170.0
2012,Бургас,district,urban,3061.0
2012,Бургас,district,rural,1109.0
2012,Варна,district,total,4732.0
2012,Варна,district,urban,3975.0
2012,Варна,district,rural,757.0
2012,Велико Търново,district,total,2300.0
2012,Велико Търново,district,urban,1679.0
2012,Велико Търново,district,rural,621.0
2012,Видин,district,total,713.0
2012,Видин,district,urban,522.0
2012,Видин,district,rural,191.0
2012,Враца,district,total,1526.0
2012,Враца,district,urban,850.0
2012,Враца,district,rural,676.0
2012,Габрово,district,total,876.0
2012,Габрово,district,urban,726.0
2012,Габрово,district,rural,150.0
2012,Добрич,district,total,1689.0
2012,Добрич,district,urban,1113.0
2012,Добрич,district,rural,576.0
2012,Кърджали,district,total,1435.0
2012,Кърджали,district,urban,637.0
2012,Кърджали,district,rural,798.0
2012,Кюстендил,district,total,1015.0
2012,Кюстендил,district,urban,824.0
2012,Кюстендил,district,rural,191.0
2012,Ловеч,district,total,1195.0
2012,Ловеч,district,urban,749.0
2012,Ловеч,district,rural,446.0
2012,Монтана,district,total,1249.0
2012,Монтана,district,urban,827.0
2012,Монтана,district,rural,422.0
2012,Пазарджик,district,total,2663.0
2012,Пазарджик,district,urban,1720.0
2012,Пазарджик,district,rural,943.0
2012,Перник,district,total,959.0
2012,Перник,district,urban,837.0
2012,Перник,district,rural,122.0
2012,Плевен,district,total,2296.0
2012,Плевен,district,urban,1555.0
2012,Плевен,district,rural,741.0
2012,Пловдив,district,total,6694.0
2012,Пловдив,district,urban,5183.0
2012,Пловдив,district,rural,1511.0
2012,Разград,district,total,1142.0
2012,Разград,district,urban,480.0
2012,Разград,district,rural,662.0
2012,Русе,district,total,1891.0
2012,Русе,district,urban,1514.0
2012,Русе,district,rural,377.0
2012,Силистра,district,total,1024.0
2012,Силистра,district,urban,409.0
2012,Силистра,district,rural,615.0
2012,Сливен,district,total,2349.0
2012,Сливен,district,urban,1418.0
2012,Сливен,district,rural,931.0
2012,Смолян,district,total,784.0
2012,Смолян,district,urban,471.0
2012,Смолян,district,rural,313.0
2012,София (столица),district,total,13597.0
2012,София (столица),district,urban,13156.0
2012,София (столица),district,rural,441.0
2012,София,district,total,2092.0
2012,София,district,urban,1450.0
2012,София,district,rural,642.0
2012,Стара Загора,district,total,3246.0
2012,Стара Загора,district,urban,2347.0
2012,Стара Загора,district,rural,899.0
2012,Търговище,district,total,1214.0
2012,Търговище,district,urban,605.0
2012,Търговище,district,rural,609.0
2012,Хасково,district,total,2190.0
2012,Хасково,district,urban,1637.0
2012,Хасково,district,rural,553.0
2012,Шумен,district,total,1777.0
2012,Шумен,district,urban,1089.0
2012,Шумен,district,rural,688.0
2012,Ямбол,district,total,1259.0
2012,Ямбол,district,urban,928.0
2012,Ямбол,district,rural,331.0
2013,България,country,total,66578.0
2013,България,country,urban,49526.0
2013,България,country,rural,17052.0
2013,Благоевград,district,total,2883.0
2013,Благоевград,district,urban,1794.0
2013,Благоевград,district,rural,1089.0
2013,Бургас,district,total,4158.0
2013,Бургас,district,urban,3006.0
2013,Бургас,district,rural,1152.0
2013,Варна,district,total,4546.0
2013,Варна,district,urban,3840.0
2013,Варна,district,rural,706.0
2013,Велико Търново,district,total,2234.0
2013,Велико Търново,district,urban,1634.0
2013,Велико Търново,district,rural,600.0
2013,Видин,district,total,656.0
2013,Видин,district,urban,472.0
2013,Видин,district,rural,184.0
2013,Враца,district,total,1388.0
2013,Враца,district,urban,785.0
2013,Враца,district,rural,603.0
2013,Габрово,district,total,849.0
2013,Габрово,district,urban,703.0
2013,Габрово,district,rural,146.0
2013,Добрич,district,total,1614.0
2013,Добрич,district,urban,1108.0
2013,Добрич,district,rural,506.0
2013,Кърджали,district,total,1435.0
2013,Кърджали,district,urban,634.0
2013,Кърджали,district,rural,801.0
2013,Кюстендил,district,total,916.0
2013,Кюстендил,district,urban,739.0
2013,Кюстендил,district,rural,177.0
2013,Ловеч,district,total,1028.0
2013,Ловеч,district,urban,647.0
2013,Ловеч,district,rural,381.0
2013,Монтана,district,total,1193.0
2013,Монтана,district,urban,777.0
2013,Монтана,district,rural,416.0
2013,Пазарджик,district,total,2617.0
2013,Пазарджик,district,urban,1675.0
2013,Пазарджик,district,rural,942.0
2013,Перник,district,total,942.0
2013,Перник,district,urban,818.0
2013,Перник,district,rural,124.0
2013,Плевен,district,total,2154.0
2013,Плевен,district,urban,1434.0
2013,Плевен,district,rural,720.0
