year,territory_raw,territory_level,metric,value
2011,Търговище,district,rural,231.0
2011,Хасково,district,total,897.0
2011,Хасково,district,urban,715.0
2011,Хасково,district,rural,182.0
2011,Шумен,district,total,738.0
2011,Шумен,district,urban,497.0
2011,Шумен,district,rural,241.0
2011,Ямбол,district,total,438.0
2011,Ямбол,district,urban,380.0
2011,Ямбол,district,rural,58.0
2012,България,country,total,29426.0
2012,България,country,urban,23625.0
2012,България,country,rural,5801.0
2012,Благоевград,district,total,1768.0
2012,Благоевград,district,urban,1092.0
2012,Благоевград,district,rural,676.0
2012,Бургас,district,total,2005.0
2012,Бургас,district,urban,1481.0
2012,Бургас,district,rural,524.0
2012,Варна,district,total,2024.0
2012,Варна,district,urban,1862.0
2012,Варна,district,rural,162.0
2012,Велико Търново,district,total,783.0
2012,Велико Търново,district,urban,666.0
2012,Велико Търново,district,rural,117.0
2012,Видин,district,total,186.0
2012,Видин,district,urban,162.0
2012,Видин,district,rural,24.0
2012,Враца,district,total,451.0
2012,Враца,district,urban,306.0
2012,Враца,district,rural,145.0
2012,Габрово,district,total,298.0
2012,Габрово,district,urban,261.0
2012,Габрово,district,rural,37.0
2012,Добрич,district,total,605.0
2012,Добрич,district,urban,461.0
2012,Добрич,district,rural,144.0
2012,Кърджали,district,total,839.0
2012,Кърджали,district,urban,343.0
2012,Кърджали,district,rural,496.0
2012,Кюстендил,district,total,413.0
2012,Кюстендил,district,urban,335.0
2012,Кюстендил,district,rural,78.0
2012,Ловеч,district,total,285.0
2012,Ловеч,district,urban,205.0
2012,Ловеч,district,rural,80.0
2012,Монтана,district,total,358.0
2012,Монтана,district,urban,296.0
2012,Монтана,district,rural,62.0
2012,Пазарджик,district,total,919.0
2012,Пазарджик,district,urban,624.0
2012,Пазарджик,district,rural,295.0
2012,Перник,district,total,443.0
2012,Перник,district,urban,396.0
2012,Перник,district,rural,47.0
2012,Плевен,district,total,769.0
2012,Плевен,district,urban,644.0
2012,Плевен,district,rural,125.0
2012,Пловдив,district,total,3064.0
2012,Пловдив,district,urban,2536.0
2012,Пловдив,district,rural,528.0
2012,Разград,district,total,544.0
2012,Разград,district,urban,241.0
2012,Разград,district,rural,303.0
2012,Русе,district,total,821.0
2012,Русе,district,urban,705.0
2012,Русе,district,rural,116.0
2012,Силистра,district,total,431.0
