year,territory_raw,territory_level,metric,value
2015,Варна,district,rural,77549.5
2016,Варна,district,total,472790.0
2016,Варна,district,urban,394979.0
2016,Варна,district,rural,77811.0
2017,Варна,district,total,472387.0
2017,Варна,district,urban,395326.5
2017,Варна,district,rural,77060.5
2018,Варна,district,total,471686.0
2018,Варна,district,urban,395542.0
2018,Варна,district,rural,76144.0
2019,Варна,district,total,470568.5
2019,Варна,district,urban,395195.5
2019,Варна,district,rural,75373.0
2020,Варна,district,total,470004.5
2020,Варна,district,urban,392855.5
2020,Варна,district,rural,77149.0
2021,Варна,district,total,469369.0
2021,Варна,district,urban,390698.5
2021,Варна,district,rural,78670.5
2022,Варна,district,total,431025.0
2022,Варна,district,urban,362695.0
2022,Варна,district,rural,68331.0
2023,Варна,district,total,432519.0
2023,Варна,district,urban,364435.5
2023,Варна,district,rural,68083.5
2024,Варна,district,total,435856.0
2024,Варна,district,urban,367897.0
2024,Варна,district,rural,67959.0
2025,Варна,district,total,439026.5
2025,Варна,district,urban,371622.0
2025,Варна,district,rural,67404.5
2010,Велико Търново,district,total,273397.0
2010,Велико Търново,district,urban,186117.0
2010,Велико Търново,district,rural,87280.0
2011,Велико Търново,district,total,257558.0
2011,Велико Търново,district,urban,178625.0
2011,Велико Търново,district,rural,78933.0
2012,Велико Търново,district,total,254929.0
2012,Велико Търново,district,urban,177280.0
2012,Велико Търново,district,rural,77649.0
2013,Велико Търново,district,total,252353.0
2013,Велико Търново,district,urban,176071.0
2013,Велико Търново,district,rural,76282.0
2014,Велико Търново,district,total,249454.0
2014,Велико Търново,district,urban,174400.0
2014,Велико Търново,district,rural,75054.0
2015,Велико Търново,district,total,246394.0
2015,Велико Търново,district,urban,172271.0
2015,Велико Търново,district,rural,74123.0
2016,Велико Търново,district,total,243632.5
2016,Велико Търново,district,urban,170542.0
2016,Велико Търново,district,rural,73090.5
2017,Велико Търново,district,total,240695.5
2017,Велико Търново,district,urban,169148.5
2017,Велико Търново,district,rural,71547.0
2018,Велико Търново,district,total,237420.0
2018,Велико Търново,district,urban,167481.5
2018,Велико Търново,district,rural,69938.5
2019,Велико Търново,district,total,234138.0
2019,Велико Търново,district,urban,165536.5
2019,Велико Търново,district,rural,68601.5
2020,Велико Търново,district,total,231143.0
2020,Велико Търново,district,urban,162362.0
2020,Велико Търново,district,rural,68781.0
2021,Велико Търново,district,total,227696.0
2021,Велико Търново,district,urban,159022.0
2021,Велико Търново,district,rural,68674.0
2022,Велико Търново,district,total,205214.0
2022,Велико Търново,district,urban,142877.0
2022,Велико Търново,district,rural,62338.0
2023,Велико Търново,district,total,203132.5
2023,Велико Търново,district,urban,141820.5
2023,Велико Търново,district,rural,61312.0
2024,Велико Търново,district,total,201322.5
2024,Велико Търново,district,urban,140773.5
2024,Велико Търново,district,rural,60549.0
2025,Велико Търново,district,total,199608.0
2025,Велико Търново,district,urban,140052.5
2025,Велико Търново,district,rural,59555.5
2010,Видин,district,total,106952.0
2010,Видин,district,urban,65828.0
2010,Видин,district,rural,41124.0
2011,Видин,district,total,100341.0
2011,Видин,district,urban,63514.0
2011,Видин,district,rural,36827.0
2012,Видин,district,total,98514.0
2012,Видин,district,urban,62692.0
2012,Видин,district,rural,35822.0
2013,Видин,district,total,96506.0
2013,Видин,district,urban,61764.0
2013,Видин,district,rural,34742.0
2014,Видин,district,total,94414.0
2014,Видин,district,urban,60658.0
2014,Видин,district,rural,33756.0
2015,Видин,district,total,92298.0
2015,Видин,district,urban,59102.5
2015,Видин,district,rural,33195.5
2016,Видин,district,total,90051.0
2016,Видин,district,urban,57502.5
2016,Видин,district,rural,32548.5
2017,Видин,district,total,87897.0
2017,Видин,district,urban,56459.0
2017,Видин,district,rural,31438.0
2018,Видин,district,total,85896.0
2018,Видин,district,urban,55499.5
2018,Видин,district,rural,30396.5
2019,Видин,district,total,83850.0
2019,Видин,district,urban,54386.5
2019,Видин,district,rural,29463.5
2020,Видин,district,total,82023.5
2020,Видин,district,urban,53106.5
2020,Видин,district,rural,28917.0
2021,Видин,district,total,80013.0
2021,Видин,district,urban,51790.5
2021,Видин,district,rural,28222.5
2022,Видин,district,total,73496.0
2022,Видин,district,urban,46694.0
2022,Видин,district,rural,26802.0
2023,Видин,district,total,72263.5
2023,Видин,district,urban,45778.0
2023,Видин,district,rural,26485.5
2024,Видин,district,total,71157.5
2024,Видин,district,urban,44900.5
2024,Видин,district,rural,26257.0
2025,Видин,district,total,70003.5
2025,Видин,district,urban,44337.5
2025,Видин,district,rural,25666.0
2010,Враца,district,total,195192.0
2010,Враца,district,urban,112552.0
2010,Враца,district,rural,82640.0
2011,Враца,district,total,185881.0
2011,Враца,district,urban,109398.0
2011,Враца,district,rural,76483.0
2012,Враца,district,total,183118.0
2012,Враца,district,urban,107800.0
2012,Враца,district,rural,75318.0
2013,Враца,district,total,179985.0
