year,territory_raw,territory_level,metric,value
2017,Варна,district,rural,386.0
2018,Варна,district,total,2177.0
2018,Варна,district,urban,1781.0
2018,Варна,district,rural,396.0
2019,Варна,district,total,2060.0
2019,Варна,district,urban,1696.0
2019,Варна,district,rural,364.0
2020,Варна,district,total,1687.0
2020,Варна,district,urban,1315.0
2020,Варна,district,rural,372.0
2021,Варна,district,total,1968.0
2021,Варна,district,urban,1571.0
2021,Варна,district,rural,397.0
2022,Варна,district,total,1806.0
2022,Варна,district,urban,1421.0
2022,Варна,district,rural,385.0
2023,Варна,district,total,1535.0
2023,Варна,district,urban,1222.0
2023,Варна,district,rural,313.0
2024,Варна,district,total,1421.0
2024,Варна,district,urban,1143.0
2024,Варна,district,rural,278.0
2025,Варна,district,total,1490.0
2025,Варна,district,urban,1246.0
2025,Варна,district,rural,244.0
2010,Велико Търново,district,total,711.0
2010,Велико Търново,district,urban,571.0
2010,Велико Търново,district,rural,140.0
2011,Велико Търново,district,total,653.0
2011,Велико Търново,district,urban,523.0
2011,Велико Търново,district,rural,130.0
2012,Велико Търново,district,total,644.0
2012,Велико Търново,district,urban,519.0
2012,Велико Търново,district,rural,125.0
2013,Велико Търново,district,total,685.0
2013,Велико Търново,district,urban,513.0
2013,Велико Търново,district,rural,172.0
2014,Велико Търново,district,total,765.0
2014,Велико Търново,district,urban,562.0
2014,Велико Търново,district,rural,203.0
2015,Велико Търново,district,total,903.0
2015,Велико Търново,district,urban,654.0
2015,Велико Търново,district,rural,249.0
2016,Велико Търново,district,total,866.0
2016,Велико Търново,district,urban,604.0
2016,Велико Търново,district,rural,262.0
2017,Велико Търново,district,total,863.0
2017,Велико Търново,district,urban,626.0
2017,Велико Търново,district,rural,237.0
2018,Велико Търново,district,total,807.0
2018,Велико Търново,district,urban,566.0
2018,Велико Търново,district,rural,241.0
2019,Велико Търново,district,total,855.0
2019,Велико Търново,district,urban,553.0
2019,Велико Търново,district,rural,302.0
2020,Велико Търново,district,total,648.0
2020,Велико Търново,district,urban,450.0
2020,Велико Търново,district,rural,198.0
2021,Велико Търново,district,total,752.0
2021,Велико Търново,district,urban,501.0
2021,Велико Търново,district,rural,251.0
2022,Велико Търново,district,total,707.0
2022,Велико Търново,district,urban,458.0
2022,Велико Търново,district,rural,249.0
2023,Велико Търново,district,total,556.0
2023,Велико Търново,district,urban,369.0
2023,Велико Търново,district,rural,187.0
2024,Велико Търново,district,total,530.0
2024,Велико Търново,district,urban,352.0
2024,Велико Търново,district,rural,178.0
2025,Велико Търново,district,total,494.0
2025,Велико Търново,district,urban,355.0
2025,Велико Търново,district,rural,139.0
2010,Видин,district,total,220.0
2010,Видин,district,urban,184.0
2010,Видин,district,rural,36.0
2011,Видин,district,total,159.0
2011,Видин,district,urban,122.0
2011,Видин,district,rural,37.0
2012,Видин,district,total,158.0
2012,Видин,district,urban,130.0
2012,Видин,district,rural,28.0
2013,Видин,district,total,146.0
2013,Видин,district,urban,108.0
2013,Видин,district,rural,38.0
2014,Видин,district,total,162.0
2014,Видин,district,urban,127.0
2014,Видин,district,rural,35.0
2015,Видин,district,total,223.0
2015,Видин,district,urban,170.0
2015,Видин,district,rural,53.0
2016,Видин,district,total,263.0
2016,Видин,district,urban,205.0
2016,Видин,district,rural,58.0
2017,Видин,district,total,280.0
2017,Видин,district,urban,196.0
2017,Видин,district,rural,84.0
2018,Видин,district,total,303.0
2018,Видин,district,urban,213.0
2018,Видин,district,rural,90.0
2019,Видин,district,total,258.0
2019,Видин,district,urban,185.0
2019,Видин,district,rural,73.0
2020,Видин,district,total,188.0
2020,Видин,district,urban,132.0
2020,Видин,district,rural,56.0
2021,Видин,district,total,283.0
2021,Видин,district,urban,194.0
2021,Видин,district,rural,89.0
2022,Видин,district,total,258.0
2022,Видин,district,urban,164.0
2022,Видин,district,rural,94.0
2023,Видин,district,total,217.0
2023,Видин,district,urban,134.0
2023,Видин,district,rural,83.0
2024,Видин,district,total,171.0
2024,Видин,district,urban,120.0
2024,Видин,district,rural,51.0
2025,Видин,district,total,179.0
2025,Видин,district,urban,115.0
2025,Видин,district,rural,64.0
2010,Враца,district,total,409.0
2010,Враца,district,urban,297.0
2010,Враца,district,rural,112.0
2011,Враца,district,total,342.0
2011,Враца,district,urban,227.0
2011,Враца,district,rural,115.0
2012,Враца,district,total,333.0
2012,Враца,district,urban,231.0
2012,Враца,district,rural,102.0
2013,Враца,district,total,304.0
2013,Враца,district,urban,204.0
2013,Враца,district,rural,100.0
2014,Враца,district,total,352.0
2014,Враца,district,urban,233.0
2014,Враца,district,rural,119.0
2015,Враца,district,total,361.0
2015,Враца,district,urban,236.0
2015,Враца,district,rural,125.0
2016,Враца,district,total,367.0
2016,Враца,district,urban,219.0
2016,Враца,district,rural,148.0
2017,Враца,district,total,399.0
2017,Враца,district,urban,259.0
2017,Враца,district,rural,140.0
2018,Враца,district,total,451.0
2018,Враца,district,urban,274.0
2018,Враца,district,rural,177.0
2019,Враца,district,total,451.0
2019,Враца,district,urban,264.0
2019,Враца,district,rural,187.0
2020,Враца,district,total,329.0
2020,Враца,district,urban,200.0
2020,Враца,district,rural,129.0
2021,Враца,district,total,442.0
2021,Враца,district,urban,273.0
2021,Враца,district,rural,169.0
2022,Враца,district,total,390.0
2022,Враца,district,urban,224.0
2022,Враца,district,rural,166.0
2023,Враца,district,total,376.0
2023,Враца,district,urban,224.0
2023,Враца,district,rural,152.0
2024,Враца,district,total,351.0
2024,Враца,district,urban,190.0
2024,Враца,district,rural,161.0
2025,Враца,district,total,371.0
2025,Враца,district,urban,208.0
2025,Враца,district,rural,163.0
2010,Габрово,district,total,321.0
2010,Габрово,district,urban,289.0
2010,Габрово,district,rural,32.0
2011,Габрово,district,total,270.0
2011,Габрово,district,urban,240.0
2011,Габрово,district,rural,30.0
2012,Габрово,district,total,263.0
2012,Габрово,district,urban,225.0
2012,Габрово,district,rural,38.0
2013,Габрово,district,total,251.0
2013,Габрово,district,urban,208.0
2013,Габрово,district,rural,43.0
2014,Габрово,district,total,291.0
2014,Габрово,district,urban,250.0
2014,Габрово,district,rural,41.0
2015,Габрово,district,total,307.0
2015,Габрово,district,urban,261.0
2015,Габрово,district,rural,46.0
2016,Габрово,district,total,311.0
2016,Габрово,district,urban,268.0
2016,Габрово,district,rural,43.0
2017,Габрово,district,total,330.0
2017,Габрово,district,urban,267.0
2017,Габрово,district,rural,63.0
2018,Габрово,district,total,319.0
2018,Габрово,district,urban,266.0
2018,Габрово,district,rural,53.0
2019,Габрово,district,total,362.0
2019,Габрово,district,urban,295.0
2019,Габрово,district,rural,67.0
2020,Габрово,district,total,250.0
2020,Габрово,district,urban,206.0
2020,Габрово,district,rural,44.0
2021,Габрово,district,total,331.0
2021,Габрово,district,urban,249.0
2021,Габрово,district,rural,82.0
2022,Габрово,district,total,329.0
2022,Габрово,district,urban,266.0
2022,Габрово,district,rural,63.0
2023,Габрово,district,total,238.0
2023,Габрово,district,urban,183.0
2023,Габрово,district,rural,55.0
2024,Габрово,district,total,242.0
2024,Габрово,district,urban,188.0
2024,Габрово,district,rural,54.0
2025,Габрово,district,total,249.0
2025,Габрово,district,urban,202.0
2025,Габрово,district,rural,47.0
2010,Добрич,district,total,495.0
2010,Добрич,district,urban,365.0
2010,Добрич,district,rural,130.0
2011,Добрич,district,total,505.0
2011,Добрич,district,urban,370.0
2011,Добрич,district,rural,135.0
2012,Добрич,district,total,594.0
2012,Добрич,district,urban,428.0
2012,Добрич,district,rural,166.0
2013,Добрич,district,total,591.0
2013,Добрич,district,urban,398.0
2013,Добрич,district,rural,193.0
2014,Добрич,district,total,785.0
2014,Добрич,district,urban,508.0
2014,Добрич,district,rural,277.0
2015,Добрич,district,total,923.0
2015,Добрич,district,urban,551.0
2015,Добрич,district,rural,372.0
2016,Добрич,district,total,909.0
2016,Добрич,district,urban,551.0
2016,Добрич,district,rural,358.0
2017,Добрич,district,total,886.0
2017,Добрич,district,urban,529.0
2017,Добрич,district,rural,357.0
2018,Добрич,district,total,944.0
2018,Добрич,district,urban,566.0
2018,Добрич,district,rural,378.0
2019,Добрич,district,total,816.0
2019,Добрич,district,urban,502.0
2019,Добрич,district,rural,314.0
2020,Добрич,district,total,716.0
2020,Добрич,district,urban,409.0
2020,Добрич,district,rural,307.0
2021,Добрич,district,total,797.0
2021,Добрич,district,urban,460.0
2021,Добрич,district,rural,337.0
2022,Добрич,district,total,731.0
2022,Добрич,district,urban,435.0
2022,Добрич,district,rural,296.0
2023,Добрич,district,total,528.0
2023,Добрич,district,urban,328.0
2023,Добрич,district,rural,200.0
2024,Добрич,district,total,473.0
2024,Добрич,district,urban,306.0
2024,Добрич,district,rural,167.0
2025,Добрич,district,total,474.0
2025,Добрич,district,urban,299.0
2025,Добрич,district,rural,175.0
2010,Кърджали,district,total,647.0
2010,Кърджали,district,urban,255.0
2010,Кърджали,district,rural,392.0
2011,Кърджали,district,total,608.0
2011,Кърджали,district,urban,229.0
2011,Кърджали,district,rural,379.0
2012,Кърджали,district,total,610.0
2012,Кърджали,district,urban,225.0
2012,Кърджали,district,rural,385.0
2013,Кърджали,district,total,647.0
2013,Кърджали,district,urban,291.0
2013,Кърджали,district,rural,356.0
2014,Кърджали,district,total,724.0
2014,Кърджали,district,urban,284.0
2014,Кърджали,district,rural,440.0
2015,Кърджали,district,total,760.0
2015,Кърджали,district,urban,318.0
2015,Кърджали,district,rural,442.0
2016,Кърджали,district,total,753.0
2016,Кърджали,district,urban,311.0
2016,Кърджали,district,rural,442.0
2017,Кърджали,district,total,695.0
2017,Кърджали,district,urban,291.0
2017,Кърджали,district,rural,404.0
2018,Кърджали,district,total,758.0
2018,Кърджали,district,urban,327.0
2018,Кърджали,district,rural,431.0
2019,Кърджали,district,total,743.0
2019,Кърджали,district,urban,297.0
2019,Кърджали,district,rural,446.0
2020,Кърджали,district,total,624.0
2020,Кърджали,district,urban,253.0
2020,Кърджали,district,rural,371.0
2021,Кърджали,district,total,689.0
2021,Кърджали,district,urban,268.0
2021,Кърджали,district,rural,421.0
2022,Кърджали,district,total,609.0
2022,Кърджали,district,urban,234.0
2022,Кърджали,district,rural,375.0
2023,Кърджали,district,total,523.0
2023,Кърджали,district,urban,203.0
2023,Кърджали,district,rural,320.0
2024,Кърджали,district,total,504.0
2024,Кърджали,district,urban,195.0
2024,Кърджали,district,rural,309.0
2025,Кърджали,district,total,480.0
2025,Кърджали,district,urban,196.0
2025,Кърджали,district,rural,284.0
2010,Кюстендил,district,total,408.0
2010,Кюстендил,district,urban,321.0
2010,Кюстендил,district,rural,87.0
2011,Кюстендил,district,total,343.0
2011,Кюстендил,district,urban,266.0
2011,Кюстендил,district,rural,77.0
2012,Кюстендил,district,total,304.0
2012,Кюстендил,district,urban,234.0
2012,Кюстендил,district,rural,70.0
2013,Кюстендил,district,total,262.0
2013,Кюстендил,district,urban,203.0
2013,Кюстендил,district,rural,59.0
2014,Кюстендил,district,total,350.0
2014,Кюстендил,district,urban,273.0
2014,Кюстендил,district,rural,77.0
2015,Кюстендил,district,total,334.0
2015,Кюстендил,district,urban,243.0
2015,Кюстендил,district,rural,91.0
2016,Кюстендил,district,total,289.0
2016,Кюстендил,district,urban,246.0
2016,Кюстендил,district,rural,43.0
2017,Кюстендил,district,total,371.0
2017,Кюстендил,district,urban,277.0
2017,Кюстендил,district,rural,94.0
2018,Кюстендил,district,total,360.0
2018,Кюстендил,district,urban,282.0
2018,Кюстендил,district,rural,78.0
2019,Кюстендил,district,total,336.0
2019,Кюстендил,district,urban,269.0
2019,Кюстендил,district,rural,67.0
2020,Кюстендил,district,total,289.0
2020,Кюстендил,district,urban,225.0
2020,Кюстендил,district,rural,64.0
2021,Кюстендил,district,total,306.0
2021,Кюстендил,district,urban,240.0
2021,Кюстендил,district,rural,66.0
2022,Кюстендил,district,total,320.0
2022,Кюстендил,district,urban,254.0
2022,Кюстендил,district,rural,66.0
2023,Кюстендил,district,total,320.0
2023,Кюстендил,district,urban,237.0
2023,Кюстендил,district,rural,83.0
2024,Кюстендил,district,total,318.0
2024,Кюстендил,district,urban,253.0
2024,Кюстендил,district,rural,65.0
2025,Кюстендил,district,total,280.0
2025,Кюстендил,district,urban,213.0
2025,Кюстендил,district,rural,67.0
2010,Ловеч,district,total,271.0
2010,Ловеч,district,urban,183.0
2010,Ловеч,district,rural,88.0
2011,Ловеч,district,total,278.0
2011,Ловеч,district,urban,191.0
2011,Ловеч,district,rural,87.0
2012,Ловеч,district,total,217.0
2012,Ловеч,district,urban,142.0
2012,Ловеч,district,rural,75.0
2013,Ловеч,district,total,247.0
2013,Ловеч,district,urban,165.0
2013,Ловеч,district,rural,82.0
2014,Ловеч,district,total,287.0
2014,Ловеч,district,urban,191.0
2014,Ловеч,district,rural,96.0
2015,Ловеч,district,total,344.0
2015,Ловеч,district,urban,223.0
2015,Ловеч,district,rural,121.0
2016,Ловеч,district,total,331.0
2016,Ловеч,district,urban,223.0
2016,Ловеч,district,rural,108.0
2017,Ловеч,district,total,399.0
2017,Ловеч,district,urban,261.0
2017,Ловеч,district,rural,138.0
2018,Ловеч,district,total,332.0
2018,Ловеч,district,urban,211.0
2018,Ловеч,district,rural,121.0
2019,Ловеч,district,total,390.0
2019,Ловеч,district,urban,248.0
2019,Ловеч,district,rural,142.0
2020,Ловеч,district,total,273.0
2020,Ловеч,district,urban,175.0
2020,Ловеч,district,rural,98.0
2021,Ловеч,district,total,351.0
2021,Ловеч,district,urban,218.0
2021,Ловеч,district,rural,133.0
2022,Ловеч,district,total,318.0
2022,Ловеч,district,urban,202.0
2022,Ловеч,district,rural,116.0
2023,Ловеч,district,total,286.0
2023,Ловеч,district,urban,200.0
2023,Ловеч,district,rural,86.0
2024,Ловеч,district,total,278.0
2024,Ловеч,district,urban,173.0
2024,Ловеч,district,rural,105.0
2025,Ловеч,district,total,287.0
2025,Ловеч,district,urban,167.0
2025,Ловеч,district,rural,120.0
2010,Монтана,district,total,348.0
2010,Монтана,district,urban,288.0
2010,Монтана,district,rural,60.0
2011,Монтана,district,total,280.0
2011,Монтана,district,urban,214.0
2011,Монтана,district,rural,66.0
2012,Монтана,district,total,278.0
2012,Монтана,district,urban,212.0
2012,Монтана,district,rural,66.0
2013,Монтана,district,total,280.0
2013,Монтана,district,urban,216.0
2013,Монтана,district,rural,64.0
2014,Монтана,district,total,444.0
2014,Монтана,district,urban,368.0
2014,Монтана,district,rural,76.0
2015,Монтана,district,total,507.0
2015,Монтана,district,urban,409.0
2015,Монтана,district,rural,98.0
2016,Монтана,district,total,483.0
2016,Монтана,district,urban,393.0
2016,Монтана,district,rural,90.0
2017,Монтана,district,total,546.0
2017,Монтана,district,urban,420.0
2017,Монтана,district,rural,126.0
2018,Монтана,district,total,574.0
2018,Монтана,district,urban,418.0
2018,Монтана,district,rural,156.0
2019,Монтана,district,total,521.0
2019,Монтана,district,urban,369.0
2019,Монтана,district,rural,152.0
2020,Монтана,district,total,382.0
2020,Монтана,district,urban,255.0
2020,Монтана,district,rural,127.0
2021,Монтана,district,total,497.0
2021,Монтана,district,urban,332.0
2021,Монтана,district,rural,165.0
2022,Монтана,district,total,438.0
2022,Монтана,district,urban,292.0
2022,Монтана,district,rural,146.0
2023,Монтана,district,total,362.0
2023,Монтана,district,urban,222.0
2023,Монтана,district,rural,140.0
2024,Монтана,district,total,313.0
2024,Монтана,district,urban,216.0
2024,Монтана,district,rural,97.0
2025,Монтана,district,total,276.0
2025,Монтана,district,urban,170.0
2025,Монтана,district,rural,106.0
2010,Пазарджик,district,total,846.0
2010,Пазарджик,district,urban,568.0
2010,Пазарджик,district,rural,278.0
2011,Пазарджик,district,total,731.0
2011,Пазарджик,district,urban,492.0
2011,Пазарджик,district,rural,239.0
2012,Пазарджик,district,total,706.0
2012,Пазарджик,district,urban,482.0
2012,Пазарджик,district,rural,224.0
2013,Пазарджик,district,total,746.0
2013,Пазарджик,district,urban,517.0
2013,Пазарджик,district,rural,229.0
2014,Пазарджик,district,total,895.0
2014,Пазарджик,district,urban,610.0
2014,Пазарджик,district,rural,285.0
2015,Пазарджик,district,total,1038.0
2015,Пазарджик,district,urban,720.0
2015,Пазарджик,district,rural,318.0
2016,Пазарджик,district,total,1095.0
2016,Пазарджик,district,urban,732.0
2016,Пазарджик,district,rural,363.0
2017,Пазарджик,district,total,1086.0
