dataset,year,territory_raw,territory_level,oblast,municipality,metric,value,source_file
births_by_sex,2012,Благоевград,oblast,Благоевград,,male,1576.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Благоевград,oblast,Благоевград,,female,1468.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Благоевград,oblast,Благоевград,,total,2883.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Благоевград,oblast,Благоевград,,male,1507.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Благоевград,oblast,Благоевград,,female,1376.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Благоевград,oblast,Благоевград,,total,2950.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Благоевград,oblast,Благоевград,,male,1503.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Благоевград,oblast,Благоевград,,female,1447.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Благоевград,oblast,Благоевград,,total,2993.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Благоевград,oblast,Благоевград,,male,1527.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Благоевград,oblast,Благоевград,,female,1466.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Благоевград,oblast,Благоевград,,total,2836.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Благоевград,oblast,Благоевград,,male,1403.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Благоевград,oblast,Благоевград,,female,1433.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Благоевград,oblast,Благоевград,,total,2702.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Благоевград,oblast,Благоевград,,male,1375.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Благоевград,oblast,Благоевград,,female,1327.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Благоевград,oblast,Благоевград,,total,2676.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Благоевград,oblast,Благоевград,,male,1410.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Благоевград,oblast,Благоевград,,female,1266.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Благоевград,oblast,Благоевград,,total,2794.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Благоевград,oblast,Благоевград,,male,1379.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Благоевград,oblast,Благоевград,,female,1415.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Благоевград,oblast,Благоевград,,total,2655.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Благоевград,oblast,Благоевград,,male,1387.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Благоевград,oblast,Благоевград,,female,1268.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Благоевград,oblast,Благоевград,,total,2595.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Благоевград,oblast,Благоевград,,male,1305.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Благоевград,oblast,Благоевград,,female,1290.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Благоевград,oblast,Благоевград,,total,2409.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Благоевград,oblast,Благоевград,,male,1228.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Благоевград,oblast,Благоевград,,female,1181.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Благоевград,oblast,Благоевград,,total,2530.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Благоевград,oblast,Благоевград,,male,1278.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Благоевград,oblast,Благоевград,,female,1252.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Благоевград,oblast,Благоевград,,total,2303.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Благоевград,oblast,Благоевград,,male,1188.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Благоевград,oblast,Благоевград,,female,1115.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Благоевград,oblast,Благоевград,,total,2220.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Благоевград,oblast,Благоевград,,male,1142.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Благоевград,oblast,Благоевград,,female,1078.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Банско,municipality,Благоевград,Банско,total,103.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Банско,municipality,Благоевград,Банско,male,51.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Банско,municipality,Благоевград,Банско,female,52.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Банско,municipality,Благоевград,Банско,total,121.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Банско,municipality,Благоевград,Банско,male,47.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Банско,municipality,Благоевград,Банско,female,74.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Банско,municipality,Благоевград,Банско,total,101.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Банско,municipality,Благоевград,Банско,male,47.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Банско,municipality,Благоевград,Банско,female,54.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Банско,municipality,Благоевград,Банско,total,109.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Банско,municipality,Благоевград,Банско,male,57.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Банско,municipality,Благоевград,Банско,female,52.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Банско,municipality,Благоевград,Банско,total,117.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Банско,municipality,Благоевград,Банско,male,56.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Банско,municipality,Благоевград,Банско,female,61.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Банско,municipality,Благоевград,Банско,total,113.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Банско,municipality,Благоевград,Банско,male,54.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Банско,municipality,Благоевград,Банско,female,59.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Банско,municipality,Благоевград,Банско,total,118.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Банско,municipality,Благоевград,Банско,male,68.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Банско,municipality,Благоевград,Банско,female,50.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Банско,municipality,Благоевград,Банско,total,86.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Банско,municipality,Благоевград,Банско,male,34.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Банско,municipality,Благоевград,Банско,female,52.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Банско,municipality,Благоевград,Банско,total,103.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Банско,municipality,Благоевград,Банско,male,50.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Банско,municipality,Благоевград,Банско,female,53.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Банско,municipality,Благоевград,Банско,total,106.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Банско,municipality,Благоевград,Банско,male,54.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Банско,municipality,Благоевград,Банско,female,52.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Банско,municipality,Благоевград,Банско,total,100.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Банско,municipality,Благоевград,Банско,male,51.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Банско,municipality,Благоевград,Банско,female,49.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Банско,municipality,Благоевград,Банско,total,98.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Банско,municipality,Благоевград,Банско,male,50.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Банско,municipality,Благоевград,Банско,female,48.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Банско,municipality,Благоевград,Банско,total,75.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Банско,municipality,Благоевград,Банско,male,46.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Банско,municipality,Благоевград,Банско,female,29.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Банско,municipality,Благоевград,Банско,total,73.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Банско,municipality,Благоевград,Банско,male,33.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Банско,municipality,Благоевград,Банско,female,40.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Банско,municipality,Благоевград,Банско,total,89.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Банско,municipality,Благоевград,Банско,male,50.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Банско,municipality,Благоевград,Банско,female,39.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Банско,municipality,Благоевград,Банско,total,72.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Банско,municipality,Благоевград,Банско,male,34.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Банско,municipality,Благоевград,Банско,female,38.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Белица,municipality,Благоевград,Белица,total,121.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Белица,municipality,Благоевград,Белица,male,57.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Белица,municipality,Благоевград,Белица,female,64.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Белица,municipality,Благоевград,Белица,total,128.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Белица,municipality,Благоевград,Белица,male,60.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Белица,municipality,Благоевград,Белица,female,68.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Белица,municipality,Благоевград,Белица,total,94.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Белица,municipality,Благоевград,Белица,male,49.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Белица,municipality,Благоевград,Белица,female,45.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Белица,municipality,Благоевград,Белица,total,85.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Белица,municipality,Благоевград,Белица,male,41.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Белица,municipality,Благоевград,Белица,female,44.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Белица,municipality,Благоевград,Белица,total,109.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Белица,municipality,Благоевград,Белица,male,62.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Белица,municipality,Благоевград,Белица,female,47.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Белица,municipality,Благоевград,Белица,total,115.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Белица,municipality,Благоевград,Белица,male,57.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2015,Белица,municipality,Благоевград,Белица,female,58.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Белица,municipality,Благоевград,Белица,total,87.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Белица,municipality,Благоевград,Белица,male,44.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2016,Белица,municipality,Благоевград,Белица,female,43.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Белица,municipality,Благоевград,Белица,total,91.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Белица,municipality,Благоевград,Белица,male,48.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2017,Белица,municipality,Благоевград,Белица,female,43.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Белица,municipality,Благоевград,Белица,total,81.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Белица,municipality,Благоевград,Белица,male,41.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2018,Белица,municipality,Благоевград,Белица,female,40.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Белица,municipality,Благоевград,Белица,total,66.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Белица,municipality,Благоевград,Белица,male,26.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2019,Белица,municipality,Благоевград,Белица,female,40.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Белица,municipality,Благоевград,Белица,total,79.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Белица,municipality,Благоевград,Белица,male,37.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2020,Белица,municipality,Благоевград,Белица,female,42.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Белица,municipality,Благоевград,Белица,total,91.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Белица,municipality,Благоевград,Белица,male,52.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2021,Белица,municipality,Благоевград,Белица,female,39.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Белица,municipality,Благоевград,Белица,total,78.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Белица,municipality,Благоевград,Белица,male,44.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2022,Белица,municipality,Благоевград,Белица,female,34.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Белица,municipality,Благоевград,Белица,total,89.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Белица,municipality,Благоевград,Белица,male,38.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2023,Белица,municipality,Благоевград,Белица,female,51.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Белица,municipality,Благоевград,Белица,total,86.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Белица,municipality,Благоевград,Белица,male,50.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2024,Белица,municipality,Благоевград,Белица,female,36.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Белица,municipality,Благоевград,Белица,total,80.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Белица,municipality,Благоевград,Белица,male,45.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2025,Белица,municipality,Благоевград,Белица,female,35.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Благоевград,oblast,Благоевград,,total,827.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Благоевград,oblast,Благоевград,,male,431.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2010,Благоевград,oblast,Благоевград,,female,396.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Благоевград,oblast,Благоевград,,total,753.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Благоевград,oblast,Благоевград,,male,360.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2011,Благоевград,oblast,Благоевград,,female,393.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Благоевград,oblast,Благоевград,,total,776.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Благоевград,oblast,Благоевград,,male,399.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2012,Благоевград,oblast,Благоевград,,female,377.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Благоевград,oblast,Благоевград,,total,676.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Благоевград,oblast,Благоевград,,male,362.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2013,Благоевград,oblast,Благоевград,,female,314.0,Pop_1.2.1._birth_DR.xlsx
births_by_sex,2014,Благоевград,oblast,Благоевград,,total,786.0,Pop_1.2.1._birth_DR.xlsx
