dataset,year,residence_group,female_age_group,male_age_group,value,source_file,sheet_name
marriages_age_matrix,2010,Общо за страната,35 - 39,30 - 34,296.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,35 - 39,35 - 39,555.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,35 - 39,40 - 49,539.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,35 - 39,50 - 59,93.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,35 - 39,60 +,22.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,40 - 49,total,1092.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,40 - 49,20 - 24,6.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,40 - 49,25 - 29,23.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,40 - 49,30 - 34,72.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,40 - 49,35 - 39,133.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,40 - 49,40 - 49,501.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,40 - 49,50 - 59,274.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,40 - 49,60 +,83.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,50 - 59,total,500.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,50 - 59,20 - 24,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,50 - 59,25 - 29,2.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,50 - 59,30 - 34,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,50 - 59,35 - 39,7.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,50 - 59,40 - 49,49.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,50 - 59,50 - 59,249.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,50 - 59,60 +,191.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,60 +,total,232.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,60 +,50 - 59,18.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,Общо за страната,60 +,60 +,214.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,Под 18,total,70.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,Под 18,под 18,2.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,Под 18,18 - 19,13.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,Под 18,20 - 24,46.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,Под 18,25 - 29,8.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,Под 18,30 - 34,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,18 - 19,total,608.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,18 - 19,под 18,2.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,18 - 19,18 - 19,39.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,18 - 19,20 - 24,282.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,18 - 19,25 - 29,204.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,18 - 19,30 - 34,64.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,18 - 19,35 - 39,11.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,18 - 19,40 - 49,5.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,18 - 19,50 - 59,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,20 - 24,total,5301.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,20 - 24,18 - 19,39.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,20 - 24,20 - 24,1418.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,20 - 24,25 - 29,2553.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,20 - 24,30 - 34,1034.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,20 - 24,35 - 39,193.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,20 - 24,40 - 49,53.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,20 - 24,50 - 59,11.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,25 - 29,total,7045.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,25 - 29,18 - 19,3.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,25 - 29,20 - 24,369.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,25 - 29,25 - 29,3331.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,25 - 29,30 - 34,2471.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,25 - 29,35 - 39,671.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,25 - 29,40 - 49,177.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,25 - 29,50 - 59,15.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,25 - 29,60 +,8.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,30 - 34,total,3417.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,30 - 34,20 - 24,38.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,30 - 34,25 - 29,547.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,30 - 34,30 - 34,1523.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,30 - 34,35 - 39,867.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,30 - 34,40 - 49,385.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,30 - 34,50 - 59,46.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,30 - 34,60 +,11.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,35 - 39,total,1346.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,35 - 39,18 - 19,1.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,35 - 39,20 - 24,12.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,35 - 39,25 - 29,81.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,35 - 39,30 - 34,243.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,35 - 39,35 - 39,468.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,35 - 39,40 - 49,449.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,35 - 39,50 - 59,73.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,35 - 39,60 +,19.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,40 - 49,total,912.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,40 - 49,20 - 24,5.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,40 - 49,25 - 29,21.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,40 - 49,30 - 34,62.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,40 - 49,35 - 39,115.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,40 - 49,40 - 49,421.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,40 - 49,50 - 59,221.0,Pop_4.1.2._Marriages_DR.xlsx,2010
marriages_age_matrix,2010,В градовете,40 - 49,60 +,67.0,Pop_4.1.2._Marriages_DR.xlsx,2010
