dataset,year,territory_raw,territory_level,oblast,municipality,metric,value,source_file
divorces_by_residence,2025,Благоевград,oblast,Благоевград,,rural,124.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2010,Бургас,oblast,Бургас,,total,656.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2010,Бургас,oblast,Бургас,,urban,573.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2010,Бургас,oblast,Бургас,,rural,83.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Бургас,oblast,Бургас,,total,664.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Бургас,oblast,Бургас,,urban,582.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Бургас,oblast,Бургас,,rural,82.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Бургас,oblast,Бургас,,total,654.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Бургас,oblast,Бургас,,urban,566.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Бургас,oblast,Бургас,,rural,88.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Бургас,oblast,Бургас,,total,731.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Бургас,oblast,Бургас,,urban,642.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Бургас,oblast,Бургас,,rural,89.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Бургас,oblast,Бургас,,total,705.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Бургас,oblast,Бургас,,urban,612.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Бургас,oblast,Бургас,,rural,93.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Бургас,oblast,Бургас,,total,636.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Бургас,oblast,Бургас,,urban,559.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Бургас,oblast,Бургас,,rural,77.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Бургас,oblast,Бургас,,total,636.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Бургас,oblast,Бургас,,urban,534.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Бургас,oblast,Бургас,,rural,102.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Бургас,oblast,Бургас,,total,683.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Бургас,oblast,Бургас,,urban,591.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Бургас,oblast,Бургас,,rural,92.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Бургас,oblast,Бургас,,total,672.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Бургас,oblast,Бургас,,urban,563.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Бургас,oblast,Бургас,,rural,109.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Бургас,oblast,Бургас,,total,685.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Бургас,oblast,Бургас,,urban,574.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Бургас,oblast,Бургас,,rural,111.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Бургас,oblast,Бургас,,total,577.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Бургас,oblast,Бургас,,urban,462.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Бургас,oblast,Бургас,,rural,115.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Бургас,oblast,Бургас,,total,616.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Бургас,oblast,Бургас,,urban,493.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Бургас,oblast,Бургас,,rural,123.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Бургас,oblast,Бургас,,total,620.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Бургас,oblast,Бургас,,urban,501.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Бургас,oblast,Бургас,,rural,119.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2023,Бургас,oblast,Бургас,,total,571.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2023,Бургас,oblast,Бургас,,urban,455.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2023,Бургас,oblast,Бургас,,rural,116.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2024,Бургас,oblast,Бургас,,total,574.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2024,Бургас,oblast,Бургас,,urban,444.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2024,Бургас,oblast,Бургас,,rural,130.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2025,Бургас,oblast,Бургас,,total,559.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2025,Бургас,oblast,Бургас,,urban,446.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2025,Бургас,oblast,Бургас,,rural,113.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2010,Варна,oblast,Варна,,total,788.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2010,Варна,oblast,Варна,,urban,721.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2010,Варна,oblast,Варна,,rural,67.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Варна,oblast,Варна,,total,730.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Варна,oblast,Варна,,urban,671.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Варна,oblast,Варна,,rural,59.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Варна,oblast,Варна,,total,854.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Варна,oblast,Варна,,urban,782.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Варна,oblast,Варна,,rural,72.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Варна,oblast,Варна,,total,852.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Варна,oblast,Варна,,urban,758.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Варна,oblast,Варна,,rural,94.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Варна,oblast,Варна,,total,836.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Варна,oblast,Варна,,urban,758.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Варна,oblast,Варна,,rural,78.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Варна,oblast,Варна,,total,819.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Варна,oblast,Варна,,urban,746.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Варна,oblast,Варна,,rural,73.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Варна,oblast,Варна,,total,807.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Варна,oblast,Варна,,urban,725.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Варна,oblast,Варна,,rural,82.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Варна,oblast,Варна,,total,785.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Варна,oblast,Варна,,urban,710.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Варна,oblast,Варна,,rural,75.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Варна,oblast,Варна,,total,762.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Варна,oblast,Варна,,urban,691.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Варна,oblast,Варна,,rural,71.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Варна,oblast,Варна,,total,791.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Варна,oblast,Варна,,urban,711.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Варна,oblast,Варна,,rural,80.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Варна,oblast,Варна,,total,688.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Варна,oblast,Варна,,urban,612.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Варна,oblast,Варна,,rural,76.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Варна,oblast,Варна,,total,826.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Варна,oblast,Варна,,urban,726.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Варна,oblast,Варна,,rural,100.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Варна,oblast,Варна,,total,692.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Варна,oblast,Варна,,urban,610.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Варна,oblast,Варна,,rural,82.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2023,Варна,oblast,Варна,,total,663.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2023,Варна,oblast,Варна,,urban,589.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2023,Варна,oblast,Варна,,rural,74.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2024,Варна,oblast,Варна,,total,663.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2024,Варна,oblast,Варна,,urban,570.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2024,Варна,oblast,Варна,,rural,93.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2025,Варна,oblast,Варна,,total,588.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2025,Варна,oblast,Варна,,urban,512.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2025,Варна,oblast,Варна,,rural,76.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2010,Велико Търново,oblast,Велико Търново,,total,367.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2010,Велико Търново,oblast,Велико Търново,,urban,311.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2010,Велико Търново,oblast,Велико Търново,,rural,56.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Велико Търново,oblast,Велико Търново,,total,361.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Велико Търново,oblast,Велико Търново,,urban,285.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2011,Велико Търново,oblast,Велико Търново,,rural,76.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Велико Търново,oblast,Велико Търново,,total,348.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Велико Търново,oblast,Велико Търново,,urban,290.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2012,Велико Търново,oblast,Велико Търново,,rural,58.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Велико Търново,oblast,Велико Търново,,total,355.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Велико Търново,oblast,Велико Търново,,urban,284.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2013,Велико Търново,oblast,Велико Търново,,rural,71.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Велико Търново,oblast,Велико Търново,,total,328.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Велико Търново,oblast,Велико Търново,,urban,249.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2014,Велико Търново,oblast,Велико Търново,,rural,79.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Велико Търново,oblast,Велико Търново,,total,347.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Велико Търново,oblast,Велико Търново,,urban,284.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2015,Велико Търново,oblast,Велико Търново,,rural,63.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Велико Търново,oblast,Велико Търново,,total,333.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Велико Търново,oblast,Велико Търново,,urban,260.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2016,Велико Търново,oblast,Велико Търново,,rural,73.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Велико Търново,oblast,Велико Търново,,total,320.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Велико Търново,oblast,Велико Търново,,urban,257.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2017,Велико Търново,oblast,Велико Търново,,rural,63.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Велико Търново,oblast,Велико Търново,,total,338.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Велико Търново,oblast,Велико Търново,,urban,253.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2018,Велико Търново,oblast,Велико Търново,,rural,85.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Велико Търново,oblast,Велико Търново,,total,349.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Велико Търново,oblast,Велико Търново,,urban,265.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2019,Велико Търново,oblast,Велико Търново,,rural,84.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Велико Търново,oblast,Велико Търново,,total,307.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Велико Търново,oblast,Велико Търново,,urban,231.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2020,Велико Търново,oblast,Велико Търново,,rural,76.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Велико Търново,oblast,Велико Търново,,total,297.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Велико Търново,oblast,Велико Търново,,urban,224.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2021,Велико Търново,oblast,Велико Търново,,rural,73.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Велико Търново,oblast,Велико Търново,,total,302.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Велико Търново,oblast,Велико Търново,,urban,220.0,Pop_4.2.1._Divorces_DR.xlsx
divorces_by_residence,2022,Велико Търново,oblast,Велико Търново,,rural,82.0,Pop_4.2.1._Divorces_DR.xlsx
